"URL","Language","Title","Has Alert","H2","Breadcrumb LVL2 Name","Breadcrumb LVL2 URL","Breadcrumb LVL3 Name","Breadcrumb LVL3 URL","Breadcrumb LVL4 Name","Breadcrumb LVL4 URL","Last Modified","Last Crawled","Author","dcterms.subject","dcterms.audience","dcterms.type","desc"
"https://www.canada.ca/en/employment-social-development/corporate/notices/coronavirus.html","en","Coronavirus disease (COVID-19) – Benefits and services","false","Important notice: Service Canada offices are changing how you can access their services; For individuals; Where to find your SIN; Applying for a SIN; Non urgent applications; Urgent applications; SIN issuance and delivery for mailed applications; Temporary residents renewing expiring or expired SINs; In your workplace; In this section; Coronavirus (COVID-19) in federally regulated workplaces; Roles and responsibilities; Employee rights under Part II of the Canada Labour Code; Mental health; Employees’ rights and leaves of absence; Reporting requirements; What is coronavirus (COVID-19); Information and resources; Contact the Labour Program; Related links","Employment and Social Development Canada","/en/employment-social-development.html","ESDC Corporate information","/en/employment-social-development/corporate.html","Notices","/en/employment-social-development/corporate/notices.html","2020-03-30T00:00:00Z","2020-03-31T06:37:13.630Z","Employment and Social Development Canada","HE Health and Safety; Diseases",,"notices","Information and updates about coronavirus in the workplace, in the Service Canada Centres and how it affects ESDC programs such as EI."
"https://www.canada.ca/en/health-canada/corporate/contact-us/public-health-bureau.html","en","Contact us — Travelling Public Program — Health Canada","false","Feedback Form; Additional Information","Departments and agencies","/en/government/dept.html","Health Canada","/en/health-canada.html","Contact Health Canada","/en/health-canada/corporate/contact-us.html","2020-03-30T00:00:00Z","2020-03-31T06:38:47.258Z","Health Canada","HE Health and Safety",,"contact us","Contact information for Health Canada's Public Health Bureau."
"https://www.inspection.gc.ca/covid-19/cfia-information-for-industry/eng/1584462704366/1584462704709","en","Coronavirus disease (COVID-19): CFIA information for industry - Canadian Food Inspection Agency","true","Questions / Concerns?; On this page; Coronavirus disease questions answered; CFIA offices moving to appointment only; The CFIA is prioritizing critical activities during COVID-19 pandemic; Current measures during COVID-19 for industry regulated by the CFIA; CFIA update on inspection services during COVID-19 pandemic","Canadian Food Inspection Agency","/eng/1297964599443/1297965645317","COVID-19","/covid-19/eng/1584729805758/1584729899016",,,"2020-03-30T00:00:00Z","2020-03-31T06:45:27.500Z",,"communications,government communications,health indicators,government information,safety,health care","educators; business; government; general public; media; scientists","reference material","CFIA's Incident Command System on COVID-19 continues to monitor the situation."
"https://www.canada.ca/en/treasury-board-secretariat/corporate/contact.html","en","Contact the Treasury Board of Canada Secretariat","true","Reaching us during the COVID-19 pandemic; Frequently Asked Questions; General and Technical Enquiries","Treasury Board of Canada Secretariat","/en/treasury-board-secretariat.html",,,,,"2020-03-30T00:00:00Z","2020-03-31T06:45:11.812Z","Treasury Board of Canada Secretariat","None","general public","frequently asked questions; contact us","Contact the Treasury Board of Canada Secretariat and consult the frequently asked questions (FAQs)."
"https://www.canada.ca/en/heritage-information-network/corporate/contact.html","en","Contact the Canadian Heritage Information Network","false",,"Canadian Heritage Information Network","/en/heritage-information-network.html",,,,,"2020-03-30T00:00:00Z","2020-03-31T06:44:16.245Z","Canadian Heritage Information Network",,,,"Address: Canadian Heritage Information Network 1030 Innes Road Ottawa, Ontario Canada K1B 4S7 E-mail: pch.RCIP-CHIN.pch@canada.ca Telephone: 613-998-3721 Toll-free: 1-800-520-2446 (Canada and United-States) Teletypewriter* (toll-free): 1-888-997-3123 Fax: 613-998-4721 *The teletypewriter is a telecommunication device for people who are deaf, hard of hearing, or speech impaired."
"https://www.pc.gc.ca/en/lhn-nhs/yt/chilkoot/visit/covid-19-info","en","Coronavirus (COVID-19) and your visit to Chilkoot Trail National Historic Site - Chilkoot Trail National Historic Site","false","Coronavirus (COVID-19) and your visit to Chilkoot Trail National Historic Site","National Historic Sites","/en/lhn-nhs","Chilkoot Trail National Historic Site","/en/lhn-nhs/yt/chilkoot","Plan your visit","/en/lhn-nhs/yt/chilkoot/visit","2020-03-30T00:00:00Z","2020-03-31T06:46:03.780Z",,"Parks Canada",,,"Learn how COVID-19 may affect your visit."
"https://cihr-irsc.gc.ca/e/51917.html","en","COVID-19 - CIHR","false","Information for the research community; Investing in COVID-19 research; An international response; Results of CIHR-funded COVID-19 research; Informing health policy; Information for Canadians; Open science; Accessing data for the purposes of research","News","37796.html",,,,,"2020-03-30T00:00:00Z","2020-03-31T02:50:16.405Z",,"[add subjects associated to the area of the Website – see KB list]",,,
"https://www.canada.ca/en/immigration-refugees-citizenship/services/coronavirus-covid19/permanent-residents.html","en","How the coronavirus disease (COVID-19) is affecting immigration, refugees, citizenship and passport services: permanent residents","true","On this page:; Will I be allowed to re-enter Canada if I’m a permanent resident?; Are my family members allowed to come to Canada?; If you applied for Canadian citizenship; Updates and related links","Immigration, Refugees and Citizenship Canada","/en/immigration-refugees-citizenship.html","How COVID-19 is affecting IRCC","/en/immigration-refugees-citizenship/services/coronavirus-covid19.html",,,"2020-03-30T00:00:00Z","2020-03-31T02:50:22.568Z","Immigration, Refugees and Citizenship Canada","GV Government and Politics; Policy; Immigration policy",,,"How the coronavirus disease (COVID-19) is affecting immigration, refugees, citizenship and passport services: permanent residents"
"https://travel.gc.ca/destinations/kazakhstan","en","Travel advice and advisories for Kazakhstan","true","Official Global Travel Advisory; Risk level(s); Safety and security; Entry/exit requirements; Health; Laws & culture; Natural disasters & climate; Assistance","Travel","/","Destinations","/destinations",,,"2020-03-30T00:00:00Z","2020-03-31T02:50:25.130Z",,"Travel",,,"Travel Advice and Advisories from the Government of Canada for Kazakhstan"
"https://www.canada.ca/en/immigration-refugees-citizenship/services/coronavirus-covid19/visitors-foreign-workers-students.html","en","How the coronavirus disease (COVID-19) is affecting immigration, refugees, citizenship and passport services: visitors, foreign workers and students","true","On this page:; Restrictions and exemptions for travellers to Canada; Visitors, international students or temporary foreign workers in Canada; Updates and related links","Immigration, Refugees and Citizenship Canada","/en/immigration-refugees-citizenship.html","How COVID-19 is affecting IRCC","/en/immigration-refugees-citizenship/services/coronavirus-covid19.html",,,"2020-03-30T00:00:00Z","2020-03-31T02:50:31.268Z","Immigration, Refugees and Citizenship Canada","GV Government and Politics; Policy; Immigration policy",,,"Find out how coronavirus disease (COVID-19) is affecting citizenship and immigration: Visitors, foreign workers and students"
"http://sidney.rcmp-grc.gc.ca/ViewPage.action?contentId=63731&languageId=1&siteNodeId=2124","en","Sidney RCMP - Sidney/ North Saanich RCMP is taking the following precautions in response to the COVID-19 pandemic","false",,"B.C.","http://bc.rcmp-grc.gc.ca/ViewPage.action?siteNodeId=14&languageId=1&contentId=-1","Sidney RCMP Home","/ViewPage.action?siteNodeId=247&languageId=1&contentId=-1","Newsroom","/ViewPage.action?siteNodeId=253&languageId=1&contentId=-1","2020-03-30T00:00:00Z","2020-03-31T02:50:33.211Z",,"Sidney",,,"Sidney/ North Saanich RCMP is taking the following precautions in response to the COVID-19 pandemic"
"https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection/latest-travel-health-advice.html","en","Coronavirus disease (COVID-19): Travel advice","true","Coronavirus disease (COVID-19); On this page; For Canadians who have recently travelled; For all Canadians who have not travelled outside of the country; Exemptions to travel restrictions; Avoid all non-essential travel; Avoid all travel on cruise ships; Safety and security abroad; Registration of Canadians Abroad; Related links; COVID-19 Virtual Assistant","Health","/en/services/health.html","Diseases and conditions","/en/public-health/services/diseases.html","Coronavirus disease (COVID-19)","/en/public-health/services/diseases/coronavirus-disease-covid-19.html","2020-03-30T00:00:00Z","2020-03-31T02:50:34.561Z","Public Health Agency of Canada",,,"alerts; education and awareness","Avoid non-essential travel outside Canada and all cruise ship travel until further notice due to the COVID-19 pandemic. For those arriving in Canada, self-isolate. Information on safety and security abroad, if you must travel.  Register if you are going abroad."
"https://www.canada.ca/en/department-finance/economic-response-plan/covid19-individuals.html","en","Support for Individuals","false","Support for individuals and families; Support for people facing unemployment; Support for people who are sick, quarantined, or in directed self-isolation; Support for people who are unable to work; Support for people who need it most; Support for seniors; Support for students and recent graduates; COVID-19 Virtual Assistant","Health","/en/services/health.html","Diseases and conditions","/en/public-health/services/diseases.html","Coronavirus disease (COVID-19)","/en/public-health/services/diseases/coronavirus-disease-covid-19.html","2020-03-30T00:00:00Z","2020-03-31T02:50:49.645Z","Department of Finance Canada",,,,"Support for Individuals"
"https://www.canada.ca/en/immigration-refugees-citizenship/services/coronavirus-covid19.html","en","How the coronavirus disease (COVID-19) is affecting immigration, refugees, citizenship and passport services","false","Follow:; Information for your situation; Most requested; Features","Immigration, Refugees and Citizenship Canada","/en/immigration-refugees-citizenship.html",,,,,"2020-03-30T00:00:00Z","2020-03-31T02:50:50.648Z","Immigration, Refugees and Citizenship Canada",,,,"Special measures to help temporary and permanent residents and applicants affected by the novel coronavirus"
"https://www.canada.ca/en/immigration-refugees-citizenship/services/coronavirus-covid19/biometrics.html","en","How the coronavirus disease (COVID-19) is affecting immigration, refugees, citizenship and passport services: biometrics","true","On this page:; Automatic biometrics extension; Biometrics collection in Canada; Biometrics collection outside Canada; How to find out when biometrics collection resumes; Updates and related links","Immigration, Refugees and Citizenship Canada","/en/immigration-refugees-citizenship.html","How COVID-19 is affecting IRCC","/en/immigration-refugees-citizenship/services/coronavirus-covid19.html",,,"2020-03-30T00:00:00Z","2020-03-31T02:50:56.304Z","Immigration, Refugees and Citizenship Canada","GV Government and Politics; Policy; Immigration policy",,,"Biometrics: Special measures to help temporary and permanent residents and applicants affected by the novel coronavirus (COVID‑19)"
"https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html","en","Coronavirus disease (COVID-19): Prevention and risks","false","On this page; How coronavirus spreads; Difference between quarantine (self-isolate) and isolate; Preventing coronavirus; Risks of getting coronavirus; False and misleading claims; Related links; COVID-19 Virtual Assistant","Health","/en/services/health.html","Diseases and conditions","/en/public-health/services/diseases.html","Coronavirus disease (COVID-19)","/en/public-health/services/diseases/coronavirus-disease-covid-19.html","2020-03-30T00:00:00Z","2020-03-31T02:51:11.256Z","Public Health Agency of Canada",,,"education and awareness","How COVID-19 spreads, ways you can stop or slow the spread, who is at risk and about false and misleading claims."
"https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/claim-protection-inside-canada.html","en","Claim refugee status from inside Canada: About the process","true","Refugee status","Immigration and citizenship","/en/services/immigration-citizenship.html","Refugees and asylum","/en/immigration-refugees-citizenship/services/refugees.html",,,"2020-03-30T00:00:00Z","2020-03-31T02:51:15.790Z","Immigration, Refugees and Citizenship Canada","GV Government and Politics; Policy; Immigration policy",,,"Claim refugee protection from inside Canada"
"https://www.canada.ca/en/public-health/services/diseases/coronavirus-disease-covid-19.html","en","Coronavirus disease (COVID-19) outbreak updates, symptoms, prevention, travel, preparation","false","Think you might have symptoms?; Current situation; Your health; Financial and economic support; Travel; Safety and security; Focus on; COVID-19 in Canada; Coronavirus disease questions answered; Resources; COVID-19 Virtual Assistant","Health","/en/services/health.html","Diseases and conditions","/en/public-health/services/diseases.html",,,"2020-03-30T00:00:00Z","2020-03-31T02:49:46.113Z","Public Health Agency of Canada",,,"campaigns; navigation page","Coronavirus disease (COVID-19) information for Canadians including links to disease updates, travel advice, how to be prepared, symptoms, prevention, risk, Canada’s response, current case numbers, answers to questions and links to printable resources."
"https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection/latest-travel-health-advice.html?topic=tilelink","en","Coronavirus disease (COVID-19): Travel advice","true","Coronavirus disease (COVID-19); On this page; For Canadians who have recently travelled; For all Canadians who have not travelled outside of the country; Exemptions to travel restrictions; Avoid all non-essential travel; Avoid all travel on cruise ships; Safety and security abroad; Registration of Canadians Abroad; Related links; COVID-19 Virtual Assistant","Health","/en/services/health.html","Diseases and conditions","/en/public-health/services/diseases.html","Coronavirus disease (COVID-19)","/en/public-health/services/diseases/coronavirus-disease-covid-19.html","2020-03-30T00:00:00Z","2020-03-31T02:49:59.638Z","Public Health Agency of Canada",,,"alerts; education and awareness","Avoid non-essential travel outside Canada and all cruise ship travel until further notice due to the COVID-19 pandemic. For those arriving in Canada, self-isolate. Information on safety and security abroad, if you must travel.  Register if you are going abroad."
"https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices/covid-19/diagnostic-devices-applications.html","en","Diagnostic devices for use against coronavirus (COVID-19): List of applications received","false",,"Departments and agencies","/en/government/dept.html","Health Canada","/en/health-canada.html","Drugs and Health Products","/en/health-canada/services/drugs-health-products.html","2020-03-30T00:00:00Z","2020-03-31T02:50:02.831Z","Health Canada",,,"education and awareness","List of applications received for authorization of diagnostic devices for COVID-19"
"https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices/covid-19/diagnostic-devices-authorized.html","en","Diagnostic devices for use against coronavirus (COVID-19): List of authorized products","false",,"Departments and agencies","/en/government/dept.html","Health Canada","/en/health-canada.html","Drugs and Health Products","/en/health-canada/services/drugs-health-products.html","2020-03-30T00:00:00Z","2020-03-31T02:50:04.183Z","Health Canada",,,"education and awareness","List of diagnostic devices that are authorized for use against COVID-19"
"https://www1.canada.ca/en/sst/","en","Social Security Tribunal of Canada","false","Follow:; Coronavirus (COVID-19) measures; Latest; Services and information; Corporate information; Most requested; Contact us; More information for",,,,,,,"2020-03-30T00:00:00Z","2020-03-31T06:47:22.049Z",,"tribunal",,,"The Social Security Tribunal (SST) is an independent administrative tribunal that provides fair and impartial quasi-judicial hearings for appeals under the Employment Insurance Act, the Canada Pension Plan and the Old Age Security Act. The SST operates at arm's length from Human Resources and Skills Development Canada."
"https://www.canada.ca/en/revenue-agency/campaigns/covid-19-update/covid-19-news.html","en","COVID-19 news updates: Canada Revenue Agency","false",,"Canada Revenue Agency","/en/revenue-agency.html","COVID-19: Changes to Canadian taxes and benefits","/en/revenue-agency/campaigns/covid-19-update.html",,,"2020-03-30T00:00:00Z","2020-03-31T02:52:11.325Z","Canada Revenue Agency",,,,
"http://surrey.rcmp-grc.gc.ca/ViewPage.action?contentId=-1&languageId=1&siteNodeId=69","en","Surrey RCMP - Home","true","Follow:; Twitter","B.C.","http://bc.rcmp-grc.gc.ca/ViewPage.action?siteNodeId=14&languageId=1&contentId=-1",,,,,"2020-03-30T00:00:00Z","2020-03-31T02:52:47.970Z",,"Surrey RCMP, public alerts, newroom, police services, contact us, how do i, safety tips, career, initiatives, highlights, missing person, wanted",,,"Surrey RCMP Detachment"
"https://www.canada.ca/en/employment-social-development/services/funding/apprenticeship-completion-overview.html","en","Funding: Apprenticeship Completion Grant – Overview","true","Grants and Contributions projects affected by COVID-19; 1. What this grant offers","Employment and Social Development Canada","/en/employment-social-development.html","Funding","/en/employment-social-development/services/funding.html",,,"2020-03-30T00:00:00Z","2020-03-31T02:51:21.554Z","Employment and Social Development Canada","ET Education and Training",,"program descriptions","Funding: Apprenticeship Completion Grant – Overview"
"https://travel.gc.ca/destinations/barbados","en","Travel advice and advisories for Barbados","true","Official Global Travel Advisory; Risk level(s); Safety and security; Entry/exit requirements; Health; Laws & culture; Natural disasters & climate; Assistance","Travel","/","Destinations","/destinations",,,"2020-03-30T00:00:00Z","2020-03-31T02:51:23.016Z",,"Travel",,,"Travel Advice and Advisories from the Government of Canada for Barbados"
"https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices/covid-19.html","en","Diagnostic devices authorized for for use against coronavirus (COVID-19)","false","On this page; Expedited access; How to get authorization; Reporting requirements; Special access programme","Departments and agencies","/en/government/dept.html","Health Canada","/en/health-canada.html","Drugs and Health Products","/en/health-canada/services/drugs-health-products.html","2020-03-30T00:00:00Z","2020-03-31T02:51:37.979Z","Health Canada",,,"assessments","Searchable list from Health Canada of all diagnostic devices approved for use against COVID-19 (coronavirus). Updated daily."
"https://www.canada.ca/en/services/policing/corrections.html","en","Corrections","false","Follow:; Services and information; Most requested","Policing, justice and emergencies","/en/services/policing.html",,,,,"2020-03-30T00:00:00Z","2020-03-31T02:51:38.981Z","Service Canada",,"general public",,"Learn about the correctional system in Canada and how we assist with the rehabilitation and the safe reintegration of offenders, serving two years or more, into the community."
"https://www.canada.ca/en/canadian-heritage/services/funding/information-covid-19.html","en","Information for Canadian Heritage grants and contributions recipients related to COVID-19","false","We are available by phone and by email; News; Frequently asked questions","Culture, history and sport","/en/services/culture.html","Funding","/en/canadian-heritage/services/funding.html",,,"2020-03-30T00:00:00Z","2020-03-31T02:54:02.320Z","Canadian Heritage",,,,
"https://www.csc-scc.gc.ca/001/006/001006-1003-en.shtml","en","Update on Coronavirus disease (COVID-19)","false","For our employees; News releases about COVID-19; Inmate COVID-19 testing in federal correctional institutions; For more information","Facilities & Security","/facilities-and-security/index-eng.shtml","Health and safety","001006-1001-en.shtml",,,"2020-03-30T00:00:00Z","2020-03-31T03:14:13.745Z",,"Correctional institutions, Safety, Security, Public safety, Imprisonment, Inmates, Criminal justice",,,"Learn how CSC continues to make the health, safety and security of our employees, building occupants and visitors a priority."
"https://www.justice.gc.ca/eng/cv/network.html","en","Network Usage and Information Services during COVID-19 situation - Resources for Justice employees: Coronavirus Disease (COVID-19)","false","Connecting to Justice; Communication with colleagues; Email; Network capacity and best practices; Help Centre; IT Security; Records Operations and Library Services; Mail Operations in the NCR","Contact Us","/eng/contact/index.html","COVID-19","/eng/cv/index.html",,,"2020-03-30T00:00:00Z","2020-03-31T03:14:44.375Z",,"justice, law, judicial system, legal system, legislation, statute, act, regulation, legislative process, amendment, canadian government",,,"Department of Justice Canada’s Internet site"
"https://www.pc.gc.ca/en/pn-np/nb/fundy/activ/randonnee-hiking/etat-sentiers-trail-conditions","en","Trail conditions at Fundy National Park - Fundy National Park","true","Trail conditions at Fundy National Park","National Parks","/en/pn-np","Fundy National Park","/en/pn-np/nb/fundy","Things to do","/en/pn-np/nb/fundy/activ","2020-03-30T00:00:00Z","2020-03-31T03:15:09.025Z",,"Parks Canada",,,
"https://www.pc.gc.ca/en/pn-np/nb/kouchibouguac/visit/covid-19-info","en","Coronavirus (COVID-19) and your visit to Kouchibouguac National Park - Kouchibouguac National Park","false","Coronavirus (COVID-19) and your visit to Kouchibouguac National Park","National Parks","/en/pn-np","Kouchibouguac National Park","/en/pn-np/nb/kouchibouguac","Plan your visit","/en/pn-np/nb/kouchibouguac/visit","2020-03-30T00:00:00Z","2020-03-31T03:15:09.071Z",,"Parks Canada",,,"Learn how COVID-19 may affect your visit."
"https://www.pc.gc.ca/en/lhn-nhs/ns/louisbourg/visit/permis-permits/exprop","en","Admission passes available to people displaced for the establishment of three Parks Canada places in Cape Breton - Fortress of Louisbourg National Historic Site","false","Admission passes available to people displaced for the establishment of three Parks Canada places in Cape Breton","National Historic Sites","/en/lhn-nhs","Fortress of Louisbourg National Historic Site","/en/lhn-nhs/ns/louisbourg","Plan your visit","/en/lhn-nhs/ns/louisbourg/visit","2020-03-30T00:00:00Z","2020-03-31T03:14:50.301Z",,"Parks Canada",,,"Find information on Canada's National Historic Sites, National Parks, National Marine Conservation Areas and on other cultural and natural heritage related topics."
"https://www.pc.gc.ca/en/lhn-nhs/pe/ardgowan/visit/covid-19-info","en","Coronavirus (COVID-19) and your visit to Ardgowan National Historic Site - Ardgowan National Historic Site","false","Coronavirus (COVID-19) and your visit to Ardgowan National Historic Site","National Historic Sites","/en/lhn-nhs","Ardgowan National Historic Site","/en/lhn-nhs/pe/ardgowan","Plan your visit","/en/lhn-nhs/pe/ardgowan/visit","2020-03-30T00:00:00Z","2020-03-31T03:14:52.604Z",,"Parks Canada",,,"Learn how COVID-19 may affect your visit."
"https://www.pc.gc.ca/en/pn-np/ab/jasper/visit/covid-19-info","en","Coronavirus (COVID-19) and your visit to Jasper National Park - Jasper National Park","false","Coronavirus (COVID-19) and your visit to Jasper National Park","National Parks","/en/pn-np","Jasper National Park","/en/pn-np/ab/jasper","Plan your visit","/en/pn-np/ab/jasper/visit","2020-03-30T00:00:00Z","2020-03-31T03:14:59.209Z",,"Parks Canada",,,"Learn how COVID-19 may affect your visit."
"https://www.pc.gc.ca/en/voyage-travel/securite-safety/covid-19-info","en","Coronavirus disease (COVID-19) - Plan your visit","false","Coronavirus disease (COVID-19)","Plan your visit","/en/voyage-travel","Visitor safety","/en/voyage-travel/securite-safety",,,"2020-03-30T00:00:00Z","2020-03-31T03:15:19.272Z",,"Parks Canada",,,"Learn how COVID-19 may affect your visit."
"https://design.canada.ca/alerts-alertes/alerts-en-stable-ip.html","en","Alerts - Service initiation page","true","Follow:; Latest; Most requested; Services and information; Contact us; Corporate information; Features",,,,,,,"2020-03-29T13:14:04Z","2020-03-31T06:43:28.948Z",,,,,
"https://design.canada.ca/crisis/alerts.html","en","warnings and service disruptions - Canada.ca","true","On this page; How to use alerts in a crisis; Examples and code; Alerts that repeat across several pages","About Canada.ca","https://www.canada.ca/en/government/about.html","Canada.ca design system","https://www.canada.ca/en/government/about/design-system.html","Crisis communications content design checklist","https://design.canada.ca/crisis/content.html","2020-03-29T09:14:04Z","2020-03-31T03:10:28.958Z",,,,,
"https://www.canada.ca/en/public-health/services/publications/diseases-conditions/2019-novel-coronavirus-information-sheet.html","en","Coronavirus disease (COVID-19): For travellers without symptoms returning to Canada","false","Mandatory self-isolation; Monitor your health for 14 days; Special Provisions; For more information","Health","/en/services/health.html","Diseases and conditions","/en/public-health/services/diseases.html","Coronavirus disease (COVID-19)","/en/public-health/services/diseases/coronavirus-disease-covid-19.html","2020-03-29T00:00:00Z","2020-03-31T06:00:16.056Z","Public Health Agency of Canada",,,"education and awareness; contact us","Instructions regarding COVID-19 (coronavirus) for travellers returning to Canada with no symptoms: self-isolate, monitor your health, if you experience symptoms, preventative measures, and telephone numbers and websites for Public Health Authorities."
