Theme/Department,Title,URL,Content Type(s),Sub-Topics,Modified Date,Language
Argent et finances,Soutien supplémentaire aux entreprises canadiennes pour faire face aux répercussions économiques de la COVID‑19,https://www.canada.ca/fr/ministere-finances/nouvelles/2020/03/soutien-supplementaire-aux-entreprises-canadiennes-pour-faire-face-aux-repercussions-economiques-de-la-covid19.html,Substantive,"Description: Ces mesures font partie du Plan d’intervention économique du gouvernement du Canada pour répondre à la COVID 19, qui prévoit un soutien direct et des reports d’impôt aux entreprises et aux travailleurs canadiens pour leur venir en aide pendant cette période difficile.
Name: soutien-supplementaire-aux-entreprises-canadiennes-pour-faire-face-aux-repercussions-economiques-de-la-covid19
Page title: Soutien supplémentaire aux entreprises canadiennes pour faire face aux répercussions économiques de la COVID‑19
",2020-03-30 15:07:39,fra
N/A,Subventions de synthèse des connaissances – Comment mettre à contribution les nouvelles technologies au profit des Canadiens?,https://www.sshrc-crsh.gc.ca/results-resultats/recipients-recipiendaires/2015/synthesis_nov-synthese_nov-fra.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,fr
Santé,"Rapport de virus des voies respiratoires, semaine 3 - se terminant le 20 janvier 2018",https://www.canada.ca/fr/sante-publique/services/surveillance/detection-virus-voies-respiratoires-canada/2017-2018/detection-isolement-virus-voies-respiratoires-semaine-3-terminant-20-janvier-2018.html,Substantive,"Keywords: Rapport de virus des voies respiratoires, Canada, détection, isolement, tests de laboratoire positifs,  virus grippal, virus respiratoire syncytial, virus parainfluenza, virus adénovirus, métapneumovirus humain, virus entérovirus, virus rhinovirus, virus coronavirus, A(H1N1)pdm09, A(H3N2), MPVh, PIV, VRS, Programme de Surveillance et détection de virus des voies respiratoires, SDVVR
",2018-01-25 16:14:32,fra
N/A,Canadiens et résidents permanents,https://www.cbsa-asfc.gc.ca/cpr-crp-fra.html,Links to Covid pages,,2017-03-29T00:00:00Z,fr
Santé,"Détection/isolement de virus des voies respiratoires au Canada, semaine 35 - se terminant le 5 septembre 2015",https://www.canada.ca/fr/sante-publique/services/surveillance/detection-virus-voies-respiratoires-canada/2015-2016/detection-isolement-virus-voies-respiratoires-semaine-35-terminant-5-septembre-2015.html,Links to Covid pages,,2015-09-10T00:00:00Z,fr
N/A,Gisèle Yasmeen,https://www.sshrc-crsh.gc.ca/transparency-transparence/disclosure-divulgation/expenses-depenses/2013/yasmeen_expenses-depenses_d2013-fra.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,fr
N/A,Temporary closure of Parks Canada places - Plan your visit,https://www.pc.gc.ca/en/voyage-travel/securite-safety/covid-19-info/covid-19-faq,Links to Covid pages,,2020-03-27T00:00:00Z,en
Health,"Respiratory Virus Report, Week 33 ending August 19, 2017",https://www.canada.ca/en/public-health/services/surveillance/respiratory-virus-detections-canada/2016-20171/respiratory-virus-detections-isolations-week-33-ending-august-19-2017.html,Links to Covid pages,,2018-09-11T00:00:00Z,en
N/A,Proactive Disclosure - Social Sciences and Humanities Research Council,https://www.sshrc-crsh.gc.ca/transparency-transparence/disclosure-divulgation/expenses-depenses/2011/herbert-copley_expenses-depenses_s2011-eng.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,en
N/A,What's New : OSH Answers,https://www.ccohs.ca/oshanswers/whats_new.html,Links to Covid pages,,,en
N/A,Ambassades et consulats | Émirats arabes unis,https://voyage.gc.ca/assistance/ambassades-consulats/emirats-arabes-unis,Links to Covid pages,,2020-03-25T00:00:00Z,fr
Health,Coronavirus disease (COVID-19): Travellers with symptoms returning to Canada,https://www.canada.ca/en/public-health/services/publications/diseases-conditions/travellers-with-symptoms-return-canada.html,Substantive,"Description: Important instructions regarding COVID-19 (coronavirus) for travellers returning to Canada with symptoms: self-isolate, continue to monitor your health, if you experience symptoms, preventative measures, and telephone numbers and websites for Public Health Authorities.
Page title: Coronavirus disease (COVID-19): Travellers with symptoms returning to Canada
H1: <strong>Coronavirus disease&nbsp;(COVID-19) : </strong>For travellers with symptoms returning to Canada
Keywords: Travellers, symptoms, returning to Canada, coronavirus, COVID-19, corona, Canada, social distancing, self-isolate, pandemic, monitor health, symptoms, prevention, wash hands, stay home, clean, disinfect, surfaces, PHA, Public Health Authorities
Title: Coronavirus disease (COVID-19): Travellers with symptoms returning to Canada
desc: Important instructions regarding COVID-19 (coronavirus) for travellers returning to Canada with symptoms: self-isolate, continue to monitor your health, if you experience symptoms, preventative measures, and telephone numbers and websites for Public Health Authorities.
",2020-03-31 00:40:03,en
Health,"Respiratory Virus Detections/Isolations in Canada, Week 25 ending June 24, 2017",https://www.canada.ca/en/public-health/services/surveillance/respiratory-virus-detections-canada/2016-20171/week-25-ending-june-24-2017.html,Links to Covid pages,,2017-06-30T00:00:00Z,en
Benefits,EI sickness benefits: What these benefits offer,https://www.canada.ca/en/services/benefits/ei/ei-sickness.html,Substantive,"Keywords: Employment insurance, EI sickness, EI disability, sickness benefits, financial assistance, employer-paid sick leave, long term disability, short term disability, quarantine, medical leave, EI medical, family supplement, apply EI, benefits application, EI Sickness eligibility, EI sick leave Ontario, Covid-19, coronavirus, Corona virus
",2020-03-20 13:15:00,en
N/A,Activités et expériences - Réserve de parc national Pacific Rim,https://www.pc.gc.ca/fr/pn-np/bc/pacificrim/activ,Links to Covid pages,,2020-03-26T00:00:00Z,fr
N/A,Media room,https://www.international.gc.ca/education/media.aspx?lang=eng,Links to Covid pages,,2019-04-29T00:00:00Z,en
N/A,Stratégie ministérielle de développement durable,https://www.sshrc-crsh.gc.ca/about-au_sujet/publications/drr/2018-2019/dsds-smdd-fra.aspx,Links to Covid pages,,2019-03-21T00:00:00Z,fr
Health,"FluWatch report: July 19 to August 1, 2015 (Weeks 29 & 30)",https://www.canada.ca/en/public-health/services/publications/diseases-conditions/fluwatch-report-july-19-august-1-2015-weeks-29-30.html,Links to Covid pages,,2015-08-07T00:00:00Z,en
Sécurité nationale et défense,Le 24 mars : Mise à jour du Bureau de la dirigeante principale des ressources humaines (BDPRH),https://www.canada.ca/fr/ministere-defense-nationale/feuille-derable/defense/2020/03/25-mars-mise-a-jour-dirigeante-principale-des-ressources-humaines.html,Substantive,"Keywords: COVID-19, Personnel
",2020-03-25 13:21:49,fr
N/A,Notice to Public: RCMP NL Front Counter Services | Royal Canadian Mounted Police,http://www.rcmp-grc.gc.ca/en/news/2020/notice-public-rcmp-nl-front-counter-services,Links to Covid pages,,2020-03-17T00:00:00Z,en
N/A,Travel advice and advisories for Uruguay,https://travel.gc.ca/destinations/uruguay,Links to Covid pages,,2020-03-24T00:00:00Z,en
N/A,Le partenariat : clé de la réussite – Rapprocher l'industrie et le milieu universitaire,https://www.sshrc-crsh.gc.ca/about-au_sujet/partnerships-partenariats/video/randall-fra.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,fr
Immigration et citoyenneté,Titre de voyage pour résident permanent : Après avoir présenté une demande,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/nouveaux-immigrants/titre-voyage-rp/apres-avoir-presente-demande.html,Links to Covid pages,,2020-03-23T00:00:00Z,fr
N/A,2016-17 Statistical Report on the Privacy Act,https://www.sshrc-crsh.gc.ca/transparency-transparence/atip-aiprp/reports-rapports/2016-2017_stats_privacy-statistiques_protection-eng.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,en
N/A,Contenu archivé - Publications de recherche - 2014 - Agriculture et Agroalimentaire Canada (AAC),https://www.dairyinfo.gc.ca/fra/collaboration-scientifique-en-agriculture/resultats-de-recherches-en-agriculture/contenu-archive-publications-de-recherche-2014/?id=1391620427525,Links to Covid pages,,,fr
Santé,Médicaments annonces,https://www.canada.ca/fr/sante-canada/services/medicaments-produits-sante/medicaments/annonces.html,Links to Covid pages,,2020-03-23T00:00:00Z,fr
Sécurité nationale et défense,Logements militaires à Shilo,https://www.canada.ca/fr/ministere-defense-nationale/services/avantages-militaires/logements-militaires/emplacements/shilo.html,Links to Covid pages,,2020-03-16T00:00:00Z,fr
N/A,Update on Coronavirus disease (COVID-19),https://www.csc-scc.gc.ca/001/006/001006-1003-en.shtml,Substantive,"Title: Update on Coronavirus disease (COVID-19)
H2: For our employees; News releases about COVID-19; Inmate COVID-19 testing in federal correctional institutions; For more information
",2020-03-30T00:00:00Z,en
N/A,SOMNIA - Pleins feux sur les nouvelles militaires,https://www.cfc.forces.gc.ca/Somnia/2020/03/15/somnia-fra.html,Links to Covid pages,,2020-03-16T00:00:00Z,fr
"Environnement et ressources naturelles ",Réserve nationale de faune du Ruisseau-Big,https://www.canada.ca/fr/environnement-changement-climatique/services/reserves-nationales-faune/existantes/ruisseau-big.html,Links to Covid pages,,2020-03-27T00:00:00Z,fr
N/A,"Parcs Canada - Information sur les avalanches - Bulletin d'avalanche - Parc national des Lacs-Waterton - Sam. mars 28, 2020",https://avalanche.pc.gc.ca/bulletin-fra.aspx?d=2020-03-28&r=4,Links to Covid pages,,,fr
Immigration and citizenship,Citizenship: COVID-19 program delivery,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/publications-manuals/operational-bulletins-manuals/service-delivery/coronavirus/citizenship.html,Substantive,"Description: rogram Delivery Instructions,  coronavirus
Page title: Citizenship: COVID-19 program delivery
H1: Citizenship: COVID-19 program delivery
Keywords: coronavirus
",2020-03-13 17:01:11,en
Health,Government of Canada officials to hold a news conference on coronavirus disease (COVID-19),https://www.canada.ca/en/public-health/news/2020/03/government-of-canada-officials-to-hold-a-news-conference-on-coronavirus-disease-covid-191.html,Substantive,"Description: Government of Canada officials to hold a news conference on coronavirus disease (COVID-19)
Name: government-of-canada-officials-to-hold-a-news-conference-on-coronavirus-disease-covid-191
Page title: Government of Canada officials to hold a news conference on coronavirus disease (COVID-19)
",2020-03-26 19:05:50,eng
N/A,Molecular Detection by PCR or RT-PCR - Guide to Services - CNPHI,https://cnphi.canada.ca/gts/reference-diagnostic-test/4793?labId=1013,Links to Covid pages,,,en
Santé,Quoi de neuf - Médicaments,https://www.canada.ca/fr/sante-canada/services/medicaments-produits-sante/medicaments/quoi-neuf-medicaments-sante-canada.html,Links to Covid pages,,2020-03-30T00:00:00Z,fr
N/A,CBSA is helping Canadians get home,https://www.canada.ca/en/border-services-agency/news/2020/03/cbsa-is-helping-canadians-get-home.html,Links to Covid pages,,2020-03-21T00:00:00Z,en
Santé,Nettoyage et désinfection des espaces publics (COVID-19),https://www.canada.ca/fr/sante-publique/services/publications/maladies-et-affections/nettoyage-desinfection-espaces-publics.html,Substantive,"Description: Lignes directrices concernant le nettoyage et la désinfection des lieux publics, notamment les écoles, les bibliothèques publiques, les transports en commun, les lieux d'hébergement communautaires et les milieux de travail pour empêcher la propagation de COVID-19.
Page title: Nettoyage et désinfection des espaces publics (COVID-19)
H1: Nettoyage et désinfection des espaces publics (COVID-19)
Keywords: lignes directrices, nettoyage, désinfection, espaces publics, coronavirus, COVID-19, Canada, pandémie,  lieux publics, écoles, universités, bibliothèques publiques, musées, transports en commun, lieux d'hébergement communautaires, milieux de travail, produits nettoyants, surfaces fréquemment touchées, contaminées, produits désinfectants, , désinfectants pour surfaces dures assortis
",2020-03-24 21:45:30,fr
N/A,Military justice,https://www.canada.ca/en/ombudsman-national-defence-forces/education-information/caf-members/complaint-mechanisms-oversight/military-justice.html,Links to Covid pages,,2020-01-10T00:00:00Z,en
N/A,Canada Firmly Committed to Global Health Security,https://www.canada.ca/en/news/archive/2013/12/canada-firmly-committed-global-health-security.html,Links to Covid pages,,2013-12-13T00:00:00Z,en
Santé,"Bulletin des agents pathogènes des voies respiratoires émergents : Numéro 37, janvier 2020",https://www.canada.ca/fr/sante-publique/services/surveillance/bulletin-agents-pathogens-voies-respiratoires-emergents/2020/janvier.html,Substantive,"Keywords: HERP, agents pathogènes, agents pathogènes des voies respiratoires émergents, bulletin des agents pathogènes, nouveau coronavirus, 2019-nCoV, grippe, aviaire, porcine, SRMO-CoV, coronavirus du syndrome respiratoire du Moyen-Orient, cas humains, janvier, 2020, Agence de la santé publique  

",2020-02-13 10:13:10,fr
N/A,"Rapport sur les dépenses annuelles de voyages, d’accueil et de conférences de l’exercice 2016-2017",https://www.sshrc-crsh.gc.ca/transparency-transparence/disclosure-divulgation/reports-rapports/2016-17-fra.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,fr
N/A,"La Gazette du Canada, Partie 1, volume 154, numéro 9 : Index",http://gazette.gc.ca/rp-pr/p1/2020/2020-02-29/html/index-fra.html,Links to Covid pages,,,fr
Santé,2019冠状病毒病(COVID-19): 返回加拿大的旅客 (宣传单),https://www.canada.ca/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/chinois-simplifie/ressources-sensibilisation/voyageurs-revenant-canada.html,Substantive,"Description: 来自加拿大政府的信息：中文简体信息页，给从国外返回加拿大的人；描述了COVID-19（冠状病毒）的症状，以及各省和地区的公共卫生部门的电话号码。

Page title: 2019冠状病毒病(COVID-19): 返回加拿大的旅客 (宣传单)
H1: 2019冠状病毒病(COVID-19): 返回加拿大的旅客 (宣传单)
",2020-03-02 08:51:21,fr
Santé,"Détection/isolement de virus des voies respiratoires au Canada, semaine 16 - se terminant le 25 avril 2015",https://www.canada.ca/fr/sante-publique/services/surveillance/detection-virus-voies-respiratoires-canada/2014-2015/detection-isolement-virus-voies-respiratoires-semaine-16-terminant-25-avril-2015.html,Links to Covid pages,,2015-04-30T00:00:00Z,fr
Immigration and citizenship,"How the coronavirus disease (COVID-19) is affecting immigration, refugees, citizenship and passport services: travel restrictions and exemptions",https://www.canada.ca/en/immigration-refugees-citizenship/services/coronavirus-covid19/travel-restrictions-exemptions.html,Substantive,"Page title: How the coronavirus disease (COVID-19) is affecting immigration, refugees, citizenship and passport services: travel restrictions and exemptions
H1: How the coronavirus disease (COVID-19) is affecting immigration, refugees, citizenship and passport services: travel restrictions and exemptions
Keywords: coronavirus update, coronavirus, covid, covid 19, covid-19, coronavirus news, coronavirus causes, coronavirus symptoms, toronto coronavirus, china coronavirus, coronavirus in canada, travel restrictions and exemptions
",2020-03-30 10:53:52,en
N/A,SSHRC Postdoctoral Fellowships: 2019-20 Competition,https://www.sshrc-crsh.gc.ca/results-resultats/recipients-recipiendaires/2019/postdoctoral_fellowships_2019-bourses_postdoctorales_2019-eng.aspx,Links to Covid pages,,2019-03-21T00:00:00Z,en
"Culture, history and sport",Bulletin: CAVCO and COVID-19,https://www.canada.ca/en/canadian-heritage/services/funding/cavco-tax-credits/notices-bulletins/bulletin-2020-04.html,Substantive,"Page title: Bulletin: CAVCO and COVID-19
H1: Bulletin: CAVCO and COVID-19
",2020-03-17 11:08:53,eng
N/A,"Raison d’être, mandate and role: who we are and what we do",https://www.sshrc-crsh.gc.ca/about-au_sujet/publications/dp/2020-2021/operating_context-raison_d_etre-contexte_operationnel-eng.aspx,Links to Covid pages,,2019-03-21T00:00:00Z,en
N/A,Unaudited Future-Oriented Statement of Operations,https://www.sshrc-crsh.gc.ca/about-au_sujet/publications/dp/2017-2018/financial_statements-etats_financiers-eng.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,en
Health,"Respiratory Virus Detections/Isolations in Canada, Week 44 ending November 1, 2014",https://www.canada.ca/en/public-health/services/surveillance/respiratory-virus-detections-canada/2014-2015/respiratory-virus-detections-isolations-week-44-ending-november-1-2014.html,Links to Covid pages,,2014-11-06T00:00:00Z,en
N/A,Le Canada et le Bhoutan,https://www.international.gc.ca/country-pays/bhutan-bhoutan/index.aspx?lang=fra,Substantive,"H2: Maladie à coronavirus (COVID-19); Suivez:; Conseils aux voyageurs et avertissements; Trouver un bureau du gouvernement du Canada; Avant de venir au Canada; Avant d'aller au Bhoutan; Relations Canada-Bhoutan; Faire des affaires au Bhoutan; En demande; Nouvelles; Trouver un bureau du gouvernement du Canada
",2020-03-25T00:00:00Z,fr
N/A,MARC21,http://publications.gc.ca/site/fra/9.834048/marcXml.html?MODS=1,Links to Covid pages,,,fr
N/A,"Consulate General of Canada in Miami, United States",https://www.international.gc.ca/country-pays/us-eu/miami.aspx?lang=eng,Substantive,"H2: Coronavirus disease (COVID-19); Our representative; Address; Follow:; Related links; Services and information; General enquiries; Consular services; Trade and investment services
",2020-03-21T00:00:00Z,en
N/A,La maladie à coronavirus (COVID-19) et votre visite au lieu historique national Ardgowan - Lieu historique national Ardgowan,https://www.pc.gc.ca/fr/lhn-nhs/pe/ardgowan/visit/covid-19-info,Substantive,"Title: La maladie à coronavirus (COVID-19) et votre visite au lieu historique national Ardgowan - Lieu historique national Ardgowan
H2: La maladie à coronavirus (COVID-19) et votre visite au lieu historique national Ardgowan
desc: Comment la COVID-19 peut affecter votre visite.
",2020-03-30T00:00:00Z,fr
Santé,Le coronavirus chez les animaux,https://www.canada.ca/fr/sante-publique/services/agents-pathogenes-voies-respiratoires-emergents/coronavirus-chez-animaux.html,Substantive,"Description: Le coronavirus chez les animaux
Name: coronavirus-chez-animaux
Page title: Le coronavirus chez les animaux
H1: Le coronavirus chez les animaux
Keywords: maladies pulmonaires, infections respiratoires, nouveau coronavirus
",2017-06-20 10:32:48,fra
N/A,Travel advice and advisories for South Africa,https://travel.gc.ca/destinations/south-africa,Links to Covid pages,,2020-03-23T00:00:00Z,en
N/A,Conseils et avertissements pour Niue,https://voyage.gc.ca/destinations/niue,Links to Covid pages,,2020-03-23T00:00:00Z,fr
Santé,"Rapport de virus des voies respiratoires, semaine 50 - se terminant le 15 decembre 2018",https://www.canada.ca/fr/sante-publique/services/surveillance/detection-virus-voies-respiratoires-canada/2018-2019/detection-isolement-virus-voies-respiratoires-semaine-50-terminant-decembre-15-2018.html,Substantive,"Keywords: Rapport de virus des voies respiratoires, Canada, détection, isolement, tests de laboratoire positifs,  virus grippal, virus respiratoire syncytial, virus parainfluenza, virus adénovirus, métapneumovirus humain, virus entérovirus, virus rhinovirus, virus coronavirus, A(H1N1)pdm09, A(H3N2), MPVh, PIV, VRS, Programme de Surveillance et détection de virus des voies respiratoires, SDVVR
",2018-12-20 12:00:00,fr
Health,"Canada’s Health Minister, Chief Public Health Officer and Deputy Chief Public Health Officer to hold a news conference following the announcement of a first presumptive confirmed case of novel coronavirus in Canada.",https://www.canada.ca/en/public-health/news/2020/01/canadas-health-minister-chief-public-health-officer-and-deputy-chief-public-health-officer-to-hold-a-news-conference-following-the-announcement-of-.html,Substantive,"Description: Canada’s Health Minister, Chief Public Health Officer and Deputy Chief Public Health Officer to hold a news conference following the announcement of a first presumptive confirmed case of novel coronavirus in Canada.
Page title: Canada’s Health Minister, Chief Public Health Officer and Deputy Chief Public Health Officer to hold a news conference following the announcement of a first presumptive confirmed case of novel coronavirus in Canada.
",2020-01-25 21:46:23,eng
N/A,"Indigenous, Territorial and Federal leaders mobilize funding to support unique northern physical distancing initiative",https://www.canada.ca/en/indigenous-services-canada/news/2020/03/indigenous-territorial-and-federal-leaders-mobilize-funding-to-support-unique-northern-physical-distancing-initiative.html,Substantive,"Description: he Government of the Northwest Territories (GNWT) and Indigenous Services Canada (ISC) came to an agreement today to support Indigenous families who are choosing to be on the land as part of the territory's response to COVID-19.
",2020-03-30 11:31:59,eng
N/A,Article de nouvelles | Décembre 1944 : Une histoire de Noël des « Alouettes »,http://www.rcaf-arc.forces.gc.ca/fr/17-escadre/nouvelles.page?doc=decembre-1944-une-histoire-de-noel-des-alouettes%2Fk4ie0k5y,Substantive,"H2: Défense nationale et Forces armées canadiennes – COVID-19; Autres nouvelles
",2019-12-23T00:00:00Z,fr
N/A,Divulgation proactive - Conseil de recherches en sciences humaine,https://www.sshrc-crsh.gc.ca/transparency-transparence/disclosure-divulgation/expenses-depenses/2011/yasmeen_travel-voyage_m2011-fra.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,fr
Health,Ministers and Government of Canada officials to hold a news conference on coronavirus disease (COVID-19),https://www.canada.ca/en/public-health/news/2020/03/ministers-and-government-of-canada-officials-to-hold-a-news-conference-on-coronavirus-disease-covid-197.html,Substantive,"Description: Ministers and Government of Canada officials to hold a news conference on coronavirus disease (COVID-19)
Name: ministers-and-government-of-canada-officials-to-hold-a-news-conference-on-coronavirus-disease-covid-197
Page title: Ministers and Government of Canada officials to hold a news conference on coronavirus disease (COVID-19)
Title: Ministers and Government of Canada officials to hold a news conference on coronavirus disease (COVID-19)
desc: Ministers and Government of Canada officials to hold a news conference on coronavirus disease (COVID-19)
",2020-03-25 21:27:42,eng
N/A,News Room | 5 Wing | Royal Canadian Air Force,http://www.rcaf-arc.forces.gc.ca/en/5-wing/news.page,Substantive,"H2: National Defence and the Canadian Armed Forces – COVID-19; More news
",2016-11-29T00:00:00Z,en
N/A,Normes d’accessibilité Canada,https://www.canada.ca/fr/normes-accessibilite-canada.html,Links to Covid pages,,2020-03-16T00:00:00Z,fr
Santé,"Rapport de virus des voies respiratoires, semaine 32 - se terminant le 11 août 2018",https://www.canada.ca/fr/sante-publique/services/surveillance/detection-virus-voies-respiratoires-canada/2017-2018/detection-isolement-virus-voies-respiratoires-semaine-32-terminant-11-aout-2018.html,Substantive,"Keywords: Rapport de virus des voies respiratoires, Canada, détection, isolement, tests de laboratoire positifs,  virus grippal, virus respiratoire syncytial, virus parainfluenza, virus adénovirus, métapneumovirus humain, virus entérovirus, virus rhinovirus, virus coronavirus, A(H1N1)pdm09, A(H3N2), MPVh, PIV, VRS, Programme de Surveillance et détection de virus des voies respiratoires, SDVVR
",2018-08-16 15:27:55,fra
N/A,Proactive Disclosure - Social Sciences and Humanities Research Council,https://www.sshrc-crsh.gc.ca/transparency-transparence/disclosure-divulgation/expenses-depenses/2007/yasmeen_hospitality-accueil_m2007-eng.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,en
N/A,C – After you have completed your move,https://www.canada.ca/en/ombudsman-national-defence-forces/education-information/caf-members/career/postings/abc-military-postings/after-completed-move.html,Links to Covid pages,,2020-02-28T00:00:00Z,en
N/A,Former SSHRC president appointed to the Order of Canada,https://www.sshrc-crsh.gc.ca/news_room-salle_de_presse/latest_news-nouvelles_recentes/2017/gaffield-eng.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,en
Argent et finances,Soutien aux particuliers,https://www.canada.ca/fr/ministere-finances/plan-intervention-economique/covid19-particuliers.html,Substantive,"Name: covid19-particuliers
",2020-03-30 16:58:33,fra
N/A,Proactive Disclosure - Social Sciences and Humanities Research Council,https://www.sshrc-crsh.gc.ca/transparency-transparence/disclosure-divulgation/expenses-depenses/2010/gaffield_hospitality-accueil_m2010-eng.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,en
N/A,Richmond RCMP - La GRC de Richmond prend des mesures afin de prévenir la propagation de la COVID-19,http://richmond.rcmp-grc.gc.ca/ViewPage.action?contentId=63750&languageId=4&siteNodeId=2122,Substantive,"Title: Richmond RCMP - La GRC de Richmond prend des mesures afin de prévenir la propagation de la COVID-19
dcterms.subject: La GRC de Richmond prend des mesures afin de prévenir la propagation de la COVID-19
desc: La GRC de Richmond prend des mesures afin de prévenir la propagation de la COVID-19
",2020-03-30T00:00:00Z,fr
"Culture, history and sport",Support for Publishers: Publishing Support – Canada Book Fund,https://www.canada.ca/en/canadian-heritage/services/funding/book-fund/publishing-support.html,Links to Covid pages,,2020-03-16T00:00:00Z,en
Health,"Respiratory Virus Report, Week 21 ending  May 26, 2018",https://www.canada.ca/en/public-health/services/surveillance/respiratory-virus-detections-canada/2017-2018/respiratory-virus-detections-isolations-week-21-ending-may-26-2018.html,Links to Covid pages,,2018-09-11T00:00:00Z,en
